participantnum,stimulusid,stimulustype,state_or_event,orientation,position,length,delay,response
6,chain_RS,chain,,left,,short,,RC_IC
6,branch_RTMS,dualbranch,state,left,top,medium,,RD
6,branch_RTME2,dualbranch,event,left,top,medium,4.0,RC
6,branch_RTSE1,dualbranch,event,left,bottom,short,2.0,RC_IC
6,branch_RTLE1,dualbranch,event,left,bottom,long,2.0,RC
6,branch_RTME3,dualbranch,event,left,bottom,medium,6.0,RC
6,branch_RTLS,dualbranch,state,left,top,long,,RC
6,branch_RTLE2,dualbranch,event,left,bottom,long,4.0,RC
6,branch_RTSE2,dualbranch,event,left,bottom,short,4.0,RC_IC
6,branch_RTME1,dualbranch,event,left,top,medium,2.0,RC
7,branch_RTME1,dualbranch,event,left,top,medium,2.0,RD
7,branch_RTSE3,dualbranch,event,left,top,short,6.0,RD_ID
7,branch_RTLE3,dualbranch,event,left,bottom,long,6.0,RD
7,chain_RL,chain,,left,,long,,RC
7,branch_RTLS,dualbranch,state,left,top,long,,RC
7,chain_RM,chain,,left,,medium,,RC
7,branch_RTLE2,dualbranch,event,left,top,long,4.0,RD
7,branch_RTLE1,dualbranch,event,left,bottom,long,2.0,RD
7,branch_RTSE2,dualbranch,event,left,bottom,short,4.0,RD_ID
7,branch_RTSS,dualbranch,state,left,bottom,short,,RD_ID
7,branch_RTSE1,dualbranch,event,left,bottom,short,2.0,RD_ID
7,branch_RTMS,dualbranch,state,left,bottom,medium,,RC
7,chain_RS,chain,,left,,short,,RC_IC
7,branch_RTME2,dualbranch,event,left,top,medium,4.0,RD
7,branch_RTME3,dualbranch,event,left,bottom,medium,6.0,RD
8,branch_RTSS,dualbranch,state,left,top,short,,RD_ID
8,branch_RTSE3,dualbranch,event,left,top,short,6.0,RD_ID
8,branch_RTLS,dualbranch,state,left,top,long,,RC
8,chain_RL,chain,,left,,long,,RC
8,branch_RTSE2,dualbranch,event,left,top,short,4.0,RC_IC
8,branch_RTLE3,dualbranch,event,left,bottom,long,6.0,RD
8,branch_RTME2,dualbranch,event,left,bottom,medium,4.0,RD
8,chain_RS,chain,,left,,short,,RC_IC
8,chain_RM,chain,,left,,medium,,RC
8,branch_RTLE1,dualbranch,event,left,top,long,2.0,RD
8,branch_RTME1,dualbranch,event,left,top,medium,2.0,RD
8,branch_RTLE2,dualbranch,event,left,bottom,long,4.0,RD
8,branch_RTSE1,dualbranch,event,left,top,short,2.0,RD_ID
8,branch_RTMS,dualbranch,state,left,top,medium,,RD
